Unidade Gestora;Ano;Número;Tipo;Fornecedor;Valor Total
MUNICIPIO DE NAVEGANTES;2021;2618;Ordinária;EDUCANDO COMERCIO DE ARTIGOS PEDAGOGICOS LTDA;2920.00
MUNICIPIO DE NAVEGANTES;2021;2617;Ordinária;ADBX - COMERCIO E SERVICOS LTDA - ME;1852.00
MUNICIPIO DE NAVEGANTES;2021;2616;Ordinária;EDUCANDO COMERCIO DE ARTIGOS PEDAGOGICOS LTDA;2920.00
MUNICIPIO DE NAVEGANTES;2021;2615;Ordinária;ADBX - COMERCIO E SERVICOS LTDA - ME;926.00
MUNICIPIO DE NAVEGANTES;2021;2614;Ordinária;EDUCANDO COMERCIO DE ARTIGOS PEDAGOGICOS LTDA;2920.00
MUNICIPIO DE NAVEGANTES;2021;2613;Ordinária;ADBX - COMERCIO E SERVICOS LTDA - ME;2778.00
MUNICIPIO DE NAVEGANTES;2021;2612;Ordinária;EDUCANDO COMERCIO DE ARTIGOS PEDAGOGICOS LTDA;5840.00
MUNICIPIO DE NAVEGANTES;2021;2611;Ordinária;SERGIO CORREIA DE SIQUEIRA ME;8700.00
MUNICIPIO DE NAVEGANTES;2021;2610;Ordinária;EDUCANDO COMERCIO DE ARTIGOS PEDAGOGICOS LTDA;5840.00
MUNICIPIO DE NAVEGANTES;2021;2609;Ordinária;SERGIO CORREIA DE SIQUEIRA ME;7134.00
MUNICIPIO DE NAVEGANTES;2021;2608;Ordinária;EDUCANDO COMERCIO DE ARTIGOS PEDAGOGICOS LTDA;2920.00
MUNICIPIO DE NAVEGANTES;2021;2607;Ordinária;ADBX - COMERCIO E SERVICOS LTDA - ME;1852.00
MUNICIPIO DE NAVEGANTES;2021;2606;Ordinária;EDUCANDO COMERCIO DE ARTIGOS PEDAGOGICOS LTDA;2920.00
MUNICIPIO DE NAVEGANTES;2021;2605;Ordinária;EDUCANDO COMERCIO DE ARTIGOS PEDAGOGICOS LTDA;2920.00
MUNICIPIO DE NAVEGANTES;2021;2604;Ordinária;ADBX - COMERCIO E SERVICOS LTDA - ME;1852.00
