contaCodigo,contaDescricao,valorOrcado
9172201010000000000,Dedução do ICMS para Formação do FUNDEB,6070500.00
9172201020000000000,Dedução de Receita para Formação do FUNDEB - IPVA,1065000.00
9172201040000000000,Ded Cota  Parte IPI-Exp p/ Formação FUNDEB,96000.00
9191311000000000000,Registro inexistente necessário,349313.94
9191311000000000000,Registro inexistente necessário,177952.39
9191311000000000000,Registro inexistente necessário,131816.58
9191313000000000000,Registro inexistente necessário,22563.19
9191313000000000000,Registro inexistente necessário,11494.45
9191313000000000000,Registro inexistente necessário,8514.41
9191399000000000000,Devoluções de Receita - Outras Receitas Correntes - Multas e Juros de Mora Div. Ativa de Outros Tributos,158627.45
9193111000000000000,Registro inexistente necessário,318000.00
9193111000000000000,Registro inexistente necessário,162000.00
9193111000000000000,Registro inexistente necessário,120000.00
9193199000000000000,Devoluções de Receita - Receita da Dívida Ativa de Outros Tributos,150000.00
9172101020000000000,Dedução Cota-Parte do FPM Formação FUNDEB,5115000.00
9111305010100000000,Deduções da Receita - ISS - Ordinários,390301.37
9111305010200000000,Deduções da Receita - ISS - Educação,198832.77
9111305010300000000,Deduções da Receita - ISS - Saúde,147283.53
4121029070000000000,Contrib de Servidor Ativo para o RPPS,7279124.77
4121029090000000000,Contribuições de Servidor Inativo para o RPPS,34860.74
4121029110000000000,Contribuições de Pensionista para o RPPS,12407.75
4132501991200000000,Rec. de Remun.de Outros Dep. Banc. Rec. Vinc. - TX,240000.00
4132810000000000000,Remuneração dos Investimentos do RPPS Renda Fixa,4500000.00
4132820000000000000,Remuneração dos Investimentos do RPPS Renda Variáv,200000.00
4192210010000000000,Comp Financ entre Reg.Geral e R.P.P/principal,56711.25
4199099000000000000,Outras Receitas,5325.00
4721029010000000000,Contrib. Patr. Servi. Ativo Civil-Intra-Orçam.,12146123.11
4721029030000000000,Contrib. Patr. Inativo Civil-Intra-Orçam.,633585.97
4721029050000000000,Contrib. Patr. Pensionista Civil-Intra-Orçam.,250671.89
